brand,model_name,official_url,fallback_variants,source_note
Apple,iPhone 18 Pro,https://www.apple.com.cn/iphone-18-pro/specs/,256;512;1024;2048,Apple 中国当前技术规格页
Apple,iPhone Duo,https://www.apple.com.cn/iphone-duo/specs/,256;512;1024,Apple 中国当前技术规格页
华为,HUAWEI Mate 70 Pro+,https://consumer.huawei.com/cn/phones/mate70-pro-plus/specs/,,华为官方规格页
华为,HUAWEI Mate 70 RS 非凡大师,https://consumer.huawei.com/cn/phones/mate70-rs-ultimate-design/specs/,,华为官方规格页
华为,HUAWEI Mate X6,https://consumer.huawei.com/cn/phones/mate-x6/specs/,,华为官方规格页
华为,HUAWEI Mate XT 非凡大师,https://consumer.huawei.com/cn/phones/mate-xt-ultimate-design/specs/,,华为官方规格页
华为,HUAWEI Pura 80,https://consumer.huawei.com/cn/phones/pura80/specs/,,华为官方规格页
华为,HUAWEI Pura 80 Pro,https://consumer.huawei.com/cn/phones/pura80-pro/specs/,,华为官方规格页
华为,HUAWEI Pura 80 Pro+,https://consumer.huawei.com/cn/phones/pura80-pro-plus/specs/,,华为官方规格页
华为,HUAWEI Pura X,https://consumer.huawei.com/cn/phones/pura-x/specs/,,华为官方规格页
华为,HUAWEI nova 14,https://consumer.huawei.com/cn/phones/nova14/,,华为官方产品页
华为,HUAWEI nova 14 Pro,https://consumer.huawei.com/cn/phones/nova14-pro/,,华为官方产品页
华为,HUAWEI nova 14 Ultra,https://consumer.huawei.com/cn/phones/nova14-ultra/,,华为官方产品页
华为,HUAWEI nova 13,https://consumer.huawei.com/cn/phones/nova13/,,华为官方产品页
华为,HUAWEI nova 13 Pro,https://consumer.huawei.com/cn/phones/nova13-pro/,,华为官方产品页
华为,HUAWEI nova Flip,https://consumer.huawei.com/cn/phones/nova-flip/specs/,,华为官方规格页
小米,Xiaomi 15,https://www.mi.com/prod/xiaomi-15/specs,,小米官方规格页
小米,Xiaomi 15 Pro,https://www.mi.com/prod/xiaomi-15-pro/specs,,小米官方规格页
小米,Xiaomi 15 Ultra,https://www.mi.com/prod/xiaomi-15-ultra/specs,,小米官方规格页
小米,Xiaomi 15S Pro,https://www.mi.com/prod/xiaomi-15s-pro/specs,,小米官方规格页
小米,Xiaomi 16,https://www.mi.com/prod/xiaomi-16/specs,,小米官方规格页
小米,Xiaomi 16 Pro,https://www.mi.com/prod/xiaomi-16-pro/specs,,小米官方规格页
