brand,model_name,official_url,fallback_variants,source_note
华为,HUAWEI Pura 90 Pro Max,https://consumer.huawei.com/cn/phones/pura90-pro-max/specs/,,华为官方规格页
华为,HUAWEI Pura X Max,https://consumer.huawei.com/cn/phones/pura-x-max/specs/,,华为官方规格页
realme,真我GT8 Pro,https://www.realme.com/cn/realme-gt-8-pro/specs,,realme 官方规格页
realme,真我GT8,https://www.realme.com/cn/realme-gt-8/specs,,realme 官方规格页
realme,真我Neo8,https://www.realme.com/cn/realme-neo-8/specs,,realme 官方规格页
realme,真我15 Pro,https://www.realme.com/cn/realme-15-pro/specs,,realme 官方规格页
三星,Samsung Galaxy S26 Ultra,https://www.samsung.com.cn/smartphones/galaxy-s26-ultra/specs/,,三星中国规格页
三星,Samsung Galaxy S26,https://www.samsung.com.cn/smartphones/galaxy-s26/specs/,,三星中国规格页
三星,Samsung Galaxy Z Fold8,https://www.samsung.com.cn/smartphones/galaxy-z-fold8/specs/,,三星中国规格页
三星,Samsung Galaxy Z Flip8,https://www.samsung.com.cn/smartphones/galaxy-z-flip8/specs/,,三星中国规格页
