brand,model_name,ram_gb,storage_gb,variant_name,platform,search_url,candidate_rank,candidate_score,product_title,product_url,context_text,evidence_screenshot,review_status,review_note
荣耀,荣耀600 Pro,12,512,12GB+512GB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=%E8%8D%A3%E8%80%80%20%E8%8D%A3%E8%80%80600%20Pro%2012GB%2B512GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,验证码,data/raw/ecommerce/searches/pdd-001-20260915T174612Z.png,blocked,页面要求人工处理：验证码
vivo,vivo X300 Ultra,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,验证码,data/raw/ecommerce/searches/pdd-002-20260915T174617Z.png,blocked,页面要求人工处理：验证码
荣耀,荣耀600 Pro,12,512,12GB+512GB,jd,https://search.jd.com/Search?keyword=%E8%8D%A3%E8%80%80%20%E8%8D%A3%E8%80%80600%20Pro%2012GB%2B512GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,访问频繁,data/raw/ecommerce/searches/jd-001-20260915T174747Z.png,blocked,页面要求人工处理：访问频繁
荣耀,荣耀600 Pro,12,512,12GB+512GB,tmall,https://list.tmall.com/search_product.htm?q=%E8%8D%A3%E8%80%80%20%E8%8D%A3%E8%80%80600%20Pro%2012GB%2B512GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-001-20260915T174753Z.png,blocked,页面要求人工处理：页面验证控件
荣耀,荣耀600 Pro,12,512,12GB+512GB,jd,https://search.jd.com/Search?keyword=%E8%8D%A3%E8%80%80%20%E8%8D%A3%E8%80%80600%20Pro%2012GB%2B512GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,,data/raw/ecommerce/searches/jd-001-20260915T185628Z.png,no_candidates,页面已打开，但未发现可识别的商品详情链接；允许后续重试
vivo,vivo X300 Ultra,12,256,12GB+256,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20X300%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,访问频繁,data/raw/ecommerce/searches/jd-002-20260915T185633Z.png,blocked,页面要求人工处理：访问频繁
vivo,vivo X300 Ultra,12,512,12GB+512,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20X300%20Ultra%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,访问频繁,data/raw/ecommerce/searches/jd-003-20260915T185637Z.png,blocked,页面要求人工处理：访问频繁
vivo,vivo X300 Ultra,16,512,16GB+512,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20X300%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,访问频繁,data/raw/ecommerce/searches/jd-004-20260915T185641Z.png,blocked,页面要求人工处理：访问频繁
vivo,vivo X300 Ultra,16,1024,16GB+1TB,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20X300%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,,data/raw/ecommerce/searches/jd-005-20260915T185645Z.png,no_candidates,页面已打开，但未发现可识别的商品详情链接；允许后续重试
vivo,iQOO 15 Ultra,16,256,16GB+256,jd,https://search.jd.com/Search?keyword=vivo%20iQOO%2015%20Ultra%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,,data/raw/ecommerce/searches/jd-006-20260915T185650Z.png,no_candidates,页面已打开，但未发现可识别的商品详情链接；允许后续重试
vivo,iQOO 15 Ultra,16,512,16GB+512,jd,https://search.jd.com/Search?keyword=vivo%20iQOO%2015%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,访问频繁,data/raw/ecommerce/searches/jd-007-20260915T185654Z.png,blocked,页面要求人工处理：访问频繁
vivo,iQOO 15 Ultra,16,1024,16GB+1TB,jd,https://search.jd.com/Search?keyword=vivo%20iQOO%2015%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,,data/raw/ecommerce/searches/jd-008-20260915T185658Z.png,no_candidates,页面已打开，但未发现可识别的商品详情链接；允许后续重试
vivo,iQOO 15 Ultra,24,1024,24GB+1TB,jd,https://search.jd.com/Search?keyword=vivo%20iQOO%2015%20Ultra%2024GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,,data/raw/ecommerce/searches/jd-009-20260915T185703Z.png,no_candidates,页面已打开，但未发现可识别的商品详情链接；允许后续重试
vivo,vivo S50,12,256,12GB+256,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20S50%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,访问频繁,data/raw/ecommerce/searches/jd-010-20260915T185707Z.png,blocked,页面要求人工处理：访问频繁
荣耀,荣耀600 Pro,12,512,12GB+512GB,tmall,https://list.tmall.com/search_product.htm?q=%E8%8D%A3%E8%80%80%20%E8%8D%A3%E8%80%80600%20Pro%2012GB%2B512GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-001-20260915T185722Z.png,blocked,页面要求人工处理：页面验证控件
vivo,vivo X300 Ultra,12,256,12GB+256,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-002-20260915T185727Z.png,blocked,页面要求人工处理：页面验证控件
vivo,vivo X300 Ultra,12,512,12GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Ultra%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-003-20260915T185731Z.png,blocked,页面要求人工处理：页面验证控件
vivo,vivo X300 Ultra,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-004-20260915T185736Z.png,blocked,页面要求人工处理：页面验证控件
vivo,vivo X300 Ultra,16,1024,16GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-005-20260915T185740Z.png,blocked,页面要求人工处理：页面验证控件
vivo,iQOO 15 Ultra,16,256,16GB+256,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%20Ultra%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-006-20260915T185745Z.png,blocked,页面要求人工处理：页面验证控件
vivo,iQOO 15 Ultra,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-007-20260915T185749Z.png,blocked,页面要求人工处理：页面验证控件
vivo,iQOO 15 Ultra,16,1024,16GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-008-20260915T185754Z.png,blocked,页面要求人工处理：页面验证控件
vivo,iQOO 15 Ultra,24,1024,24GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%20Ultra%2024GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,0,0,,,页面验证控件,data/raw/ecommerce/searches/tmall-009-20260915T185759Z.png,blocked,页面要求人工处理：页面验证控件
