priority,release_date,launch_price,brand,model_name,ram_gb,storage_gb,variant_name,platform,search_url,store_name,external_id,sku_text,product_title,product_url,region,regular_price,public_sale_price,gov_price,billion_subsidy_price,promotion_labels,promotion_stackable,in_stock,evidence_text_path,screenshot_path,reviewer,review_status
HIGH,2026-05-01,,荣耀,荣耀600 Pro,12,512,12GB+512GB,jd,https://search.jd.com/Search?keyword=%E8%8D%A3%E8%80%80%20%E8%8D%A3%E8%80%80600%20Pro%2012GB%2B512GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512GB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-05-01,,荣耀,荣耀600 Pro,12,512,12GB+512GB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=%E8%8D%A3%E8%80%80%20%E8%8D%A3%E8%80%80600%20Pro%2012GB%2B512GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512GB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-05-01,,荣耀,荣耀600 Pro,12,512,12GB+512GB,tmall,https://list.tmall.com/search_product.htm?q=%E8%8D%A3%E8%80%80%20%E8%8D%A3%E8%80%80600%20Pro%2012GB%2B512GB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512GB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,6999.00,vivo,vivo X300 Ultra,12,256,12GB+256,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20X300%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,6999.00,vivo,vivo X300 Ultra,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,6999.00,vivo,vivo X300 Ultra,12,256,12GB+256,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Ultra%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,7499.00,vivo,vivo X300 Ultra,12,512,12GB+512,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20X300%20Ultra%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,7999.00,vivo,vivo X300 Ultra,16,512,16GB+512,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20X300%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,7499.00,vivo,vivo X300 Ultra,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Ultra%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,7999.00,vivo,vivo X300 Ultra,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,7499.00,vivo,vivo X300 Ultra,12,512,12GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Ultra%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,7999.00,vivo,vivo X300 Ultra,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,,vivo,vivo X300 Ultra,16,1024,16GB+1TB,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20X300%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,,vivo,vivo X300 Ultra,16,1024,16GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20X300%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-03-01,,vivo,vivo X300 Ultra,16,1024,16GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20X300%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,,vivo,iQOO 15 Ultra,16,256,16GB+256,jd,https://search.jd.com/Search?keyword=vivo%20iQOO%2015%20Ultra%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,,vivo,iQOO 15 Ultra,16,256,16GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%20Ultra%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,,vivo,iQOO 15 Ultra,16,256,16GB+256,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%20Ultra%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,6499.00,vivo,iQOO 15 Ultra,16,512,16GB+512,jd,https://search.jd.com/Search?keyword=vivo%20iQOO%2015%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,6499.00,vivo,iQOO 15 Ultra,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,6499.00,vivo,iQOO 15 Ultra,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,7499.00,vivo,iQOO 15 Ultra,16,1024,16GB+1TB,jd,https://search.jd.com/Search?keyword=vivo%20iQOO%2015%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,8199.00,vivo,iQOO 15 Ultra,24,1024,24GB+1TB,jd,https://search.jd.com/Search?keyword=vivo%20iQOO%2015%20Ultra%2024GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,24GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,7499.00,vivo,iQOO 15 Ultra,16,1024,16GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,8199.00,vivo,iQOO 15 Ultra,24,1024,24GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20iQOO%2015%20Ultra%2024GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,24GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,7499.00,vivo,iQOO 15 Ultra,16,1024,16GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2026-02-01,8199.00,vivo,iQOO 15 Ultra,24,1024,24GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=vivo%20iQOO%2015%20Ultra%2024GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,24GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,2999.00,vivo,vivo S50,12,256,12GB+256,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20S50%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3399.00,vivo,vivo S50,16,256,16GB+256,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20S50%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,2999.00,vivo,vivo S50,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3399.00,vivo,vivo S50,16,256,16GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,2999.00,vivo,vivo S50,12,256,12GB+256,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20S50%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3399.00,vivo,vivo S50,16,256,16GB+256,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20S50%2016GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3299.00,vivo,vivo S50,12,512,12GB+512,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20S50%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3599.00,vivo,vivo S50,16,512,16GB+512,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20S50%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3299.00,vivo,vivo S50,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3599.00,vivo,vivo S50,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3299.00,vivo,vivo S50,12,512,12GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20S50%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3599.00,vivo,vivo S50,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=vivo%20vivo%20S50%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3699.00,vivo,vivo S50 Pro mini,12,256,12GB+256,jd,https://search.jd.com/Search?keyword=vivo%20vivo%20S50%20Pro%20mini%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
HIGH,2025-12-01,3699.00,vivo,vivo S50 Pro mini,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=vivo%20vivo%20S50%20Pro%20mini%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
