series,name,price,url,尺寸与重量_长度,尺寸与重量_宽度,尺寸与重量_厚度,尺寸与重量_重量,屏幕_屏幕尺寸,屏幕_屏幕色彩,屏幕_屏幕类型,屏幕_分辨率,处理器_CPU,处理器_GPU,存储_机身内存（ROM）,后置摄像头_后置摄像头配置,后置摄像头_后置摄像头变焦模式,后置摄像头_后置摄像头照片分辨率,后置摄像头_后置摄像头摄像分辨率,后置摄像头_后置摄像头拍摄功能,前置摄像头_前置摄像头像素,前置摄像头_前置摄像头照片分辨率,前置摄像头_前置摄像头摄像分辨率,前置摄像头_前置摄像头拍摄功能,数据连接_WLAN 频段,数据连接_WLAN 协议,数据连接_蓝牙,数据连接_数据线接口,数据连接_耳机接口,多媒体_音频,多媒体_视频,包装清单_外包装采用塑封，彩盒内标配：,屏幕_尺寸,屏幕_类型,存储_机身内存,充电_有线充电,数据连接_WLAN,数据连接_星闪,操作系统_HarmonyOS 6.0,屏幕_玻璃类型,存储_HUAWEI Mate X6,存储_HUAWEI Mate X6 典藏版,后置摄像头_后置摄像头对焦方式,后置摄像头_后置闪光灯,电池_HUAWEI Mate X6,电池_HUAWEI Mate X6 典藏版,充电_无线充电,数据连接_卫星通信,前置摄像头_前置摄像头视频拍摄,充电_有线快充,存储_运行内存（RAM）,后置摄像头_后置摄像头防抖模式,数据连接_超宽带（UWB）,存储_运行内存,前置摄像头_前置摄像头,屏幕_色彩,后置摄像头_后置摄像头,充电_有线充电：,充电_无线充电：,数据连接_查找功能,前置摄像头_前置摄像头变焦模式,操作系统_HarmonyOS 6.1,屏幕_屏幕像素密度,操作系统_HarmonyOS 4.3,存储_运行内存（RAM）+ 机身内存（ROM）,存储_扩展存储,后置摄像头_后置摄像头视频拍摄,存储_HUAWEI Pura X,存储_HUAWEI Pura X 典藏版,存储_HUAWEI Pura X Max,存储_HUAWEI Pura X Max 典藏版,屏幕_PPI,处理器_CPU 型号
畅享系列,华为畅享 70S,,https://consumer.huawei.com/cn/phones/changxiang-70s/specs/,168.3 mm,77.7 mm,8.93 mm,约 207 克（含电池）,6.75 英寸,1670 万色,LCD，支持 60 Hz / 90 Hz 刷新率,HD+ 1600 × 720 像素,八核，4 × Cortex-A73@2.4 GHz + 4 × Cortex-A53@1.9 GHz,Adreno 610 1100 MHz,128 GB / 256 GB,后置双摄：5000 万像素主摄摄像头（F1.8 光圈）+ 200 万像素微距摄像头（F2.4 光圈）,10 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 1920 × 1080 像素,普通拍照/夜景模式/高像素/全景拍照/普通录像/微距等,前置单摄：800 万像素,最大可支持 3264 × 2448 像素,最大可支持 1920 × 1080 像素,美肤/声控拍照/定时拍照/笑脸抓拍/手势拍照等,2.4 GHz 和 5 GHz,802.11b/g/n/ac，VHT 80,Bluetooth 5.0，支持低功耗蓝牙，支持 SBC、AAC,USB Type-C,USB Type-C 接口,华为 Histen,*.3gp、*.mp4、*.webm、*.mkv,1、手机（内置电池）× 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畅享系列,华为畅享 70X,,https://consumer.huawei.com/cn/phones/changxiang-70x/specs/,164 mm,74.88 mm,湖光青、曜金黑、雪域白：7.98 mm 云杉黛、曜石黑：8.13 mm,湖光青、曜金黑、雪域白：约 189 g（含电池） 云杉黛、曜石黑：约 193 g（含电池）,,,,FHD+ 2700 × 1224 像素,,,,,,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,大光圈、夜景、人像、拍照、录像、专业模式、慢动作、全景、延时摄影、高像素、声控拍照、笑脸抓拍、定时拍摄,,最大可支持 3264 × 2448 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、延时摄影、笑脸抓拍、声控拍照、定时拍摄,,,Bluetooth 5.1，支持低功耗蓝牙，支持 SBC、AAC,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen,*.3gp、*.mp4,,6.78 英寸,AMOLED，最高支持 120 Hz 刷新率，300 Hz 触控采样率,128 GB / 256 GB / 512 GB ROM,支持最大超级快充 40 W Turbo（10V/4A），兼容 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,2.4 GHz 和 5 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畅享系列,华为畅享 70X 尊享版,1899,https://consumer.huawei.com/cn/phones/changxiang-70x-zunxiangban/specs/,164 mm,74.88 mm,7.98 mm,约 189 g（含电池）,,,,FHD+ 2700 × 1224 像素,,,,,,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,大光圈、夜景、人像、拍照、录像、专业模式、慢动作、全景、延时摄影、高像素、声控拍照、笑脸抓拍、定时拍摄,,最大可支持 3264 × 2448 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、延时摄影、笑脸抓拍、声控拍照、定时拍摄,,,Bluetooth 5.1，支持低功耗蓝牙，支持 SBC、AAC,"USB Type-C, 支持 USB 2.0",USB Type-C 接口,Huawei Histen,*.3gp、*.mp4,,6.78 英寸,AMOLED，最高支持 120 Hz 刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB ROM,支持最大超级快充 40 W Turbo（10V/4A），兼容 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,2.4 GHz 和 5 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畅享系列,华为畅享 80,,https://consumer.huawei.com/cn/phones/changxiang-80/specs/,166.05 mm,76.58 mm,8.25 mm（天青蓝、天际白、曜金黑） 8.33 mm（原野绿）,203 g（天青蓝、天际白、曜金黑） 206 g（原野绿）,6.67 英寸,1670 万色,LCD，支持 60 Hz / 90 Hz 刷新率,HD+ 1604 × 720,,,128 GB / 256 GB / 512 GB,后置单摄：5000 万像素主摄摄像头（F1.8 光圈）,6 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 1920 × 1080 像素,普通拍照/人像模式/专业模式/全景模式/慢动作模式/延时摄影/水印/高像素/夜景/定时拍摄/熄屏快拍/笑脸抓拍/声控拍照/连拍,前置单摄：800 万像素,最大可支持 3264 × 2448 像素,最大可支持 1920 × 1080 像素,普通拍照/人像模式/笑脸抓拍/自拍镜像/声控拍照/定时拍摄,2.4 GHz 和 5 GHz,802.11a/b/g/n/ac,Bluetooth 5.1，支持低功耗蓝牙，支持 SBC、AAC,USB Type-C,USB Type-C 接口,华为 Histen,*.3gp、*.mp4、*.webm、*.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畅享系列,华为畅享 90,1299,https://consumer.huawei.com/cn/phones/changxiang-90/specs/,166.05 mm,76.58 mm,8.32 mm,约 212 g（含电池）,,,,HD+ 1604 × 720 像素,,,,,支持 10 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、专业模式、慢动作、全景、延时摄影、高像素、声控拍照、笑脸抓拍、定时拍摄,,最大可支持 3264 × 2448 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、延时摄影、笑脸抓拍、声控拍照、定时拍摄,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC,"USB Type-C, 支持 USB 2.0",USB Type-C 接口,Huawei Histen,*.mp4,,6.67 英寸,LCD，最高支持 120 Hz 刷新率,128 GB / 256 GB ROM,支持最大超级快充 40 W Turbo（10V/4A），兼容 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,2.4 GHz 和 5 GHz,支持，星闪 E1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畅享系列,华为畅享 90 Plus,1499,https://consumer.huawei.com/cn/phones/changxiang-90-plus/specs/,166.05 mm,76.58 mm,8.32 mm,约 212 g（含电池）,,,,HD+ 1604 × 720 像素,,,,,支持 10 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、专业模式、慢动作、全景、延时摄影、高像素、声控拍照、笑脸抓拍、定时拍摄,,最大可支持 3264 × 2448 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、延时摄影、笑脸抓拍、声控拍照、定时拍摄,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen,*.mp4,,6.67 英寸,LCD，最高支持 120 Hz 刷新率,128 GB / 256 GB ROM,支持最大超级快充 40 W Turbo（10V/4A），兼容 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,2.4 GHz 和 5 GHz,支持，星闪 E1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畅享系列,华为畅享 90 Pro Max,1899,https://consumer.huawei.com/cn/phones/changxiang-90-pro-max/specs/,163.3 mm,78 mm,7.98 mm,约 232 g（含电池）,,,,FHD+ 2756 × 1272 像素,,,,,支持 10 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、专业模式、慢动作、全景、延时摄影、高像素、声控拍照、笑脸抓拍、定时拍摄,,最大可支持 3264 × 2448 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、延时摄影、笑脸抓拍、声控拍照、定时拍摄,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen、对称立体声,*.mp4,,6.84 英寸,OLED，最高支持 120 Hz 刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,128 GB / 256 GB / 512 GB ROM,支持最大超级快充 40 W Turbo（10V/4A），兼容 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,2.4 GHz 和 5 GHz,支持，星闪 E1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
畅享系列,华为畅享 90m Plus,,https://consumer.huawei.com/cn/phones/changxiang-90m-plus/specs/,166.05 mm,76.58 mm,8.32 mm,约 212 g（含电池）,,,,HD + 1604 × 720 像素,,,,,支持 10 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、专业模式、慢动作、全景、延时摄影、高像素、声控拍照、笑脸抓拍、定时拍摄,,最大可支持 3264 × 2448 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、延时摄影、笑脸抓拍、声控拍照、定时拍摄,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen,*.mp4,手机（内置电池） × 1,6.67 英寸,LCD，最高支持 120 Hz 刷新率,128 GB / 256 GB ROM,,2.4 GHz 和 5 GHz,支持，星闪 E1.0,128 GB / 256 GB ROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate X6,12999,https://consumer.huawei.com/cn/phones/mate-x6/specs/,156.6 mm,折叠：73.78 mm,折叠：9.85 mm（锦纤版）/ 9.9 mm（素皮版）,约 239 克,内屏：7.93 英寸,内屏：10.7 亿色，P3 广色域,内屏：可折叠柔性 OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，最高 240 Hz 触控采样率,内屏：2440 × 2240 像素,,,,5000 万像素超光变摄像头（F1.4-F4.0 十档物理可变光圈，RYYB，OIS）,支持 4 倍光学变焦（4 倍变焦为近似值，镜头焦段分别为 24 mm，13 mm，90 mm）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、风驰闪拍、高画质模式、智能可变光圈、物理光圈可调、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、流光快门、智能滤镜、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍、后置自拍,内屏前置：800 万像素摄像头（F2.2 光圈）,最大可支持 3264 × 2448 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、人像模式、延时摄影、智能滤镜、笑脸抓拍、自拍镜像、声控拍照、定时拍摄,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C ，USB 3.1 GEN1,USB Type-C,Huawei Histen，支持立体声,*.mp4,,,,,支持最大超级快充 66 W（11V/6A），兼容 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 5 W 有线反向充电。,2.4 GHz 和 5 GHz,支持,,HUAWEI Mate X6：第二代昆仑玻璃,12 GB RAM + 256 GB /512 GB ROM,16 GB RAM + 512 GB / 1 TB ROM,自动对焦,LED 闪光灯,电池容量：5110 mAh（典型值）,电池容量：5200 mAh（典型值）,最大支持 50 W 华为无线超级快充，支持 7.5 W 无线反向充电。,HUAWEI Mate X6：北斗卫星消息,,,,,,,,,,,,,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate X7,12999,https://consumer.huawei.com/cn/phones/mate-x7/specs/,,,,,,,,,,,,,,,,,内屏：800 万像素摄像头（F2.2 光圈）,最大可支持 3264 × 2448 像素,,XMAGE 风格、AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,,,,Huawei Histen 音效，支持立体声,*.mp4,,,,,,,,,,,,,,,,支持 50 W 华为无线超级快充，支持无线反向充电,,最大可支持 4K（3840 × 2160）视频录制，支持 AIS 防抖,支持最大超级快充 66 W（11V/6A），兼容 20V/3.25A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 5 W 有线反向充电,,,,,,,,,,,,,,,,,,,,,,,
