id,model_id,brand,model_name,ram_gb,storage_gb,variant_name,launch_price,launch_price_source,color_limited,is_active,created_at,updated_at
1,1,华为,HUAWEI Mate 70,12,256,12GB+256GB,5499.00,https://consumer.huawei.com/cn/phones/mate70/specs/,False,True,2026-09-02 09:56:48.335883,2026-09-02 09:56:48.335883
2,2,小米,Xiaomi 17,12,256,12GB+256GB,4499.00,https://www.mi.com/,False,True,2026-09-02 09:56:48.338880,2026-09-02 09:56:48.338880
3,3,Apple,iPhone 17,,256,256GB,5999.00,https://www.apple.com.cn/iphone/compare/,False,True,2026-09-02 09:56:48.341209,2026-09-02 09:56:48.341209
4,4,vivo,vivo X200 Pro,16,512,16GB+512GB,5999.00,https://www.vivo.com.cn/vivo/param/x200pro,False,True,2026-09-02 09:56:48.342209,2026-09-02 15:27:40.720142
5,5,Apple,iPhone 17 Pro,,256,256,,,False,True,2026-09-02 15:03:17.533071,2026-09-02 15:03:17.533071
6,5,Apple,iPhone 17 Pro,,512,512,,,False,True,2026-09-02 15:03:17.533071,2026-09-02 15:03:17.533071
7,5,Apple,iPhone 17 Pro,,1024,1TB,,,False,True,2026-09-02 15:03:17.533071,2026-09-02 15:03:17.533071
8,6,Apple,iPhone 17 Pro Max,,256,256,,,False,True,2026-09-02 15:03:17.535071,2026-09-02 15:03:17.535071
9,6,Apple,iPhone 17 Pro Max,,512,512,,,False,True,2026-09-02 15:03:17.535071,2026-09-02 15:03:17.535071
10,6,Apple,iPhone 17 Pro Max,,1024,1TB,,,False,True,2026-09-02 15:03:17.535071,2026-09-02 15:03:17.535071
11,6,Apple,iPhone 17 Pro Max,,2048,2TB,,,False,True,2026-09-02 15:03:17.535071,2026-09-02 15:03:17.535071
12,7,Apple,iPhone Air,,256,256,,,False,True,2026-09-02 15:03:17.537073,2026-09-02 15:03:17.537073
13,7,Apple,iPhone Air,,512,512,,,False,True,2026-09-02 15:03:17.537073,2026-09-02 15:03:17.537073
14,7,Apple,iPhone Air,,1024,1TB,,,False,True,2026-09-02 15:03:17.537073,2026-09-02 15:03:17.537073
15,3,Apple,iPhone 17,,512,512,,,False,True,2026-09-02 15:03:17.537073,2026-09-02 15:03:17.537073
16,8,Apple,iPhone 17e,,128,128,,,False,True,2026-09-02 15:03:17.539071,2026-09-02 15:03:17.539071
17,8,Apple,iPhone 17e,,256,256,,,False,True,2026-09-02 15:03:17.539071,2026-09-02 15:03:17.539071
18,8,Apple,iPhone 17e,,512,512,,,False,True,2026-09-02 15:03:17.539071,2026-09-02 15:03:17.539071
19,9,Apple,iPhone 16,,128,128,,,False,True,2026-09-02 15:03:17.540072,2026-09-02 15:03:17.540072
20,9,Apple,iPhone 16,,256,256,,,False,True,2026-09-02 15:03:17.540072,2026-09-02 15:03:17.540072
21,9,Apple,iPhone 16,,512,512,,,False,True,2026-09-02 15:03:17.540072,2026-09-02 15:03:17.540072
22,20,OPPO,OPPO Find X9 Ultra,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.550463,2026-09-02 15:03:17.550463
23,20,OPPO,OPPO Find X9 Ultra,12,512,12GB+512,,,False,True,2026-09-02 15:03:17.550463,2026-09-02 15:03:17.550463
24,20,OPPO,OPPO Find X9 Ultra,16,512,16GB+512,,,False,True,2026-09-02 15:03:17.550463,2026-09-02 15:03:17.550463
25,20,OPPO,OPPO Find X9 Ultra,16,1024,16GB+1TB,,,False,True,2026-09-02 15:03:17.550463,2026-09-02 15:03:17.550463
26,21,OPPO,OPPO Find X9s Pro,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.552470,2026-09-02 15:03:17.552470
27,21,OPPO,OPPO Find X9s Pro,12,512,12GB+512,,,False,True,2026-09-02 15:03:17.552470,2026-09-02 15:03:17.552470
28,21,OPPO,OPPO Find X9s Pro,16,512,16GB+512,,,False,True,2026-09-02 15:03:17.552470,2026-09-02 15:03:17.552470
29,21,OPPO,OPPO Find X9s Pro,16,1024,16GB+1TB,,,False,True,2026-09-02 15:03:17.552470,2026-09-02 15:03:17.552470
30,22,OPPO,OPPO Find X9 Pro,12,256,12GB+256,,,False,True,2026-09-02 15:03:17.553470,2026-09-02 15:03:17.553470
31,22,OPPO,OPPO Find X9 Pro,12,512,12GB+512,,,False,True,2026-09-02 15:03:17.553470,2026-09-02 15:03:17.553470
32,22,OPPO,OPPO Find X9 Pro,16,512,16GB+512,,,False,True,2026-09-02 15:03:17.553470,2026-09-02 15:03:17.553470
