priority,brand,model,variant,platform,launch_price,official_store,product_url,public_price,gov_price,billion_subsidy_price,evidence_path,review_status,reviewer
HIGH,华为,HUAWEI Mate 70,12GB+256GB,jd,5499.00,,,,,,,pending,
HIGH,华为,HUAWEI Mate 70,12GB+256GB,tmall,5499.00,,,,,,,pending,
HIGH,华为,HUAWEI Mate 70,12GB+256GB,pdd,5499.00,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70,256,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70,256,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70,256,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70,1TB,pdd,,,,,,,,pending,
HIGH,小米,Xiaomi 17,12GB+256GB,tmall,4499.00,,,,,,,pending,
HIGH,小米,Xiaomi 17,12GB+256GB,pdd,4499.00,,,,,,,pending,
HIGH,Apple,iPhone 17,256GB,jd,5999.00,,,,,,,pending,
HIGH,Apple,iPhone 17,256GB,tmall,5999.00,,,,,,,pending,
HIGH,Apple,iPhone 17,256GB,pdd,5999.00,,,,,,,pending,
MEDIUM,Apple,iPhone 17,512,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17,512,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17,512,pdd,,,,,,,,pending,
HIGH,vivo,vivo X200 Pro,16GB+512GB,jd,5999.00,,,,,,,pending,
HIGH,vivo,vivo X200 Pro,16GB+512GB,tmall,5999.00,,,,,,,pending,
HIGH,vivo,vivo X200 Pro,16GB+512GB,pdd,5999.00,,,,,,,pending,
HIGH,vivo,vivo X200 Pro,12GB+256,jd,5299.00,,,,,,,pending,
HIGH,vivo,vivo X200 Pro,12GB+256,tmall,5299.00,,,,,,,pending,
HIGH,vivo,vivo X200 Pro,12GB+256,pdd,5299.00,,,,,,,pending,
MEDIUM,vivo,vivo X200 Pro,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,vivo,vivo X200 Pro,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,vivo,vivo X200 Pro,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro,256,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro,256,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro,256,pdd,,,,,,,,pending,
