priority,brand,model,missing_fields,missing_variants,official_url,review_status,review_note
MEDIUM,小米,Xiaomi 17,image_url,no,https://www.mi.com/prod/xiaomi-17/specs,pending,
HIGH,小米,Xiaomi 17 Pro,,yes,https://www.mi.com/prod/xiaomi-17-pro/specs,pending,
MEDIUM,小米,REDMI K80 至尊版,release_date;cpu;refresh_rate;image_url,no,https://www.mi.com/prod/redmi-k80-ultra/specs,pending,
MEDIUM,realme,真我GT7,release_date;cpu;screen_size;main_camera_mp;image_url,no,https://www.realme.com/cn/realme-gt-7,pending,
MEDIUM,realme,真我GT7 Pro,release_date;cpu;weight_g;image_url,no,https://www.realme.com/cn/realme-gt-7-pro,pending,
MEDIUM,realme,真我V70,release_date;image_url,no,https://www.realme.com/cn/more-products/realme-v-70/specs,pending,
MEDIUM,魅族,魅族 22,release_date;cpu;screen_size;refresh_rate;main_camera_mp;battery_mah;weight_g;image_url,no,https://detail.meizu.com/item/meizu22.html,pending,
MEDIUM,魅族,魅族 21 Note,release_date;cpu;screen_size;refresh_rate;main_camera_mp;weight_g;image_url,no,https://detail.meizu.com/item/meizu21note.html,pending,
MEDIUM,华为,HUAWEI Mate 70 RS 非凡大师,release_date;cpu,no,https://consumer.huawei.com/cn/phones/mate70-rs-ultimate-design/specs/,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,release_date;cpu;refresh_rate,no,https://consumer.huawei.com/cn/phones/mate-xt-ultimate-design/specs/,pending,
MEDIUM,华为,HUAWEI Pura 80,cpu,no,https://consumer.huawei.com/cn/phones/pura80/specs/,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,cpu,no,https://consumer.huawei.com/cn/phones/pura80-pro/specs/,pending,
MEDIUM,华为,HUAWEI nova 14,cpu,no,https://consumer.huawei.com/cn/phones/nova14/,pending,
MEDIUM,华为,HUAWEI nova 14 Pro,cpu,no,https://consumer.huawei.com/cn/phones/nova14-pro/,pending,
MEDIUM,华为,HUAWEI nova 14 Ultra,release_date;cpu,no,https://consumer.huawei.com/cn/phones/nova14-ultra/,pending,
HIGH,小米,REDMI K90,,yes,https://www.mi.com/prod/redmi-k90/specs,pending,
HIGH,小米,REDMI Turbo 5,,yes,https://www.mi.com/prod/redmi-turbo-5/specs,pending,
HIGH,小米,REDMI Note 14,,yes,https://www.mi.com/prod/redmi-note-14/specs,pending,
MEDIUM,OPPO,OPPO Find X8 Pro 卫星通信版,release_date,no,https://www.oppo.com/cn/smartphones/series-find-x/find-x8-pro-satellite/specs/,pending,
MEDIUM,OPPO,OPPO Find X9 Pro 卫星通信版,release_date,no,https://www.oppo.com/cn/smartphones/series-find-x/find-x9-pro-satellite/specs/,pending,
MEDIUM,OPPO,OPPO K12s,release_date,no,https://www.oppo.com/cn/smartphones/series-k/k12s/specs/,pending,
MEDIUM,OPPO,OPPO A5 活力版,release_date,no,https://www.oppo.com/cn/smartphones/series-a/a5-energy-edition/specs/,pending,
MEDIUM,OPPO,OPPO A5m,release_date,no,https://www.oppo.com/cn/smartphones/series-a/a5m/specs/,pending,
MEDIUM,OPPO,OPPO A6m,release_date,no,https://www.oppo.com/cn/smartphones/series-a/a6m/specs/,pending,
MEDIUM,vivo,iQOO Neo10,image_url,no,https://www.vivo.com.cn/vivo/param/iqooneo10,pending,
MEDIUM,realme,真我V70s,release_date;image_url,no,https://www.realme.com/cn/more-products/realme-v-70s/specs,pending,
MEDIUM,realme,真我GT Neo6,release_date;image_url,no,https://www.realme.com/cn/realme-gt-neo-6/specs,pending,
HIGH,三星,Samsung W25 Flip,release_date;cpu;screen_size;refresh_rate;main_camera_mp;battery_mah;weight_g;image_url,yes,https://www.samsung.com.cn/smartphones/samsung-w25-flip/specs/,pending,
HIGH,荣耀,荣耀Robot Phone,,yes,https://www.honor.com/cn/phones/honor-robot-phone/,pending,
